Time,Week,Date,Date.Deployed,Date.Retrieved,Date.Weighed,Hours.Field,Card.ID,Site.ID,Orientation,Rack.ID,Pre.Mass,Final.Mass,Total.Dissolution,Dissolution.Hour,Percent.Dissolution,Percent.Dissolution.Hr,Notes,Initials
1,8,6-Oct,20161006,20161007,20161010,23.75,256,IB,South,1,25.0931,NA,NA,NA,NA,NA,Broken,AH
1,8,6-Oct,20161006,20161007,20161010,23.75,252,IB,North,1,24.4111,15.5308,8.8803,0.373907368,36.37812307,1.531710445,NA,AH
1,8,6-Oct,20161006,20161007,20161010,24.25,259,OB,North,4,23.0658,12.0907,10.9751,0.452581443,47.58170105,1.962132002,NA,AH
1,8,6-Oct,20161006,20161007,20161010,23.75,298,IB,North,2,26.6499,17.3184,9.3315,0.392905263,35.01514077,1.474321717,NA,AH
1,8,6-Oct,20161006,20161007,20161010,23.75,257,IB,South,3,23.0963,15.5408,7.5555,0.318126316,32.71303196,1.377390819,NA,AH
1,8,6-Oct,20161006,20161007,20161010,24.25,254,OB,South,5,21.31,10.7141,10.5959,0.43694433,49.72266542,2.050419192,NA,AH
1,8,6-Oct,20161006,20161007,20161010,24.25,258,OB,North,6,24.0147,11.8698,12.1449,0.500820619,50.57277418,2.085475224,NA,AH
1,8,6-Oct,20161006,20161007,20161010,23.75,255,IB,South,2,28.3765,19.8755,8.501,0.357936842,29.95788769,1.261384745,NA,AH
1,8,6-Oct,20161006,20161007,20161010,24.25,251,OB,South,6,22.2466,11.2364,11.0102,0.454028866,49.49160771,2.040891039,NA,AH
1,8,6-Oct,20161006,20161007,20161010,23.75,253,IB,North,3,22.2743,14.6351,7.6392,0.321650526,34.29602726,1.444043253,NA,AH
1,8,6-Oct,20161006,20161007,20161010,24.25,299,OB,South,4,23.5529,12.5229,11.03,0.454845361,46.8307512,1.931164998,NA,AH
1,8,6-Oct,20161006,20161007,20161010,24.25,250,OB,North,5,21.8317,10.938,10.8937,0.449224742,49.89854203,2.057671836,NA,AH
2,10,20-Oct,20161020,20161021,20161028,25,252,IB,North,1,29.567,18.3545,11.2125,0.4485,37.92234586,1.516893834,NA,AH
2,10,20-Oct,20161020,20161021,20161028,25,251,IB,South,1,27.17,16.4941,10.6759,0.427036,39.29297019,1.571718808,NA,AH
2,10,20-Oct,20161020,20161021,20161028,25,259,IB,North,2,27.529,17.3062,10.2228,0.408912,37.134658,1.48538632,NA,AH
2,10,20-Oct,20161020,20161021,20161028,25,257,IB,South,2,27.536,17.1986,10.3374,0.413496,37.54140035,1.501656014,NA,AH
2,10,20-Oct,20161020,20161021,20161028,25,253,IB,North,3,29.883,20.2391,9.6439,0.385756,32.27219489,1.290887796,NA,AH
2,10,20-Oct,20161020,20161021,20161028,25,256,IB,South,3,28.493,18.9476,9.5454,0.381816,33.50085986,1.340034394,NA,AH
2,10,20-Oct,20161020,20161021,20161028,24.5,299,OB,South,4,29.949,12.6942,17.2548,0.704277551,57.6139437,2.351589539,NA,AH
2,10,20-Oct,20161020,20161021,20161028,24.5,250,OB,North,4,26.346,10.5136,15.8324,0.646220408,60.09413194,2.452821712,NA,AH
2,10,20-Oct,20161020,20161021,20161028,24.5,255,OB,North,5,27.008,10.2321,16.7759,0.684730612,62.11455865,2.535288108,NA,AH
2,10,20-Oct,20161020,20161021,20161028,24.5,258,OB,South,5,28.204,11.3306,16.8734,0.688710204,59.82626578,2.441888399,NA,AH
2,10,20-Oct,20161020,20161021,20161028,24.5,254,OB,North,6,29.933,11.9956,17.9374,0.732138776,59.9251662,2.445925151,NA,AH
2,10,20-Oct,20161020,20161021,20161028,24.5,298,OB,South,6,28.191,10.9173,17.2737,0.70504898,61.27381079,2.500971869,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.25,1N,OB,North,4,33.327,17.6717,15.6553,0.673346237,46.97482522,2.02042259,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.25,1S,OB,South,4,29.9468,15.347,14.5998,0.627948387,48.75245435,2.096879757,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.25,2N,OB,North,5,30.9048,14.4954,16.4094,0.705780645,53.09660635,2.283725004,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.25,2S,OB,South,5,29.0252,15.345,13.6802,0.588395699,47.13214724,2.027189128,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.25,3N,OB,North,6,35.6608,18.0016,17.6592,0.759535484,49.51992103,2.129889077,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.25,3S,OB,South,6,31.9601,16.4141,15.546,0.668645161,48.64190037,2.092124747,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.5,4N,IB,North,1,27.924,18.7781,9.1459,0.389187234,32.75282911,1.393737409,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.5,4S,IB,South,1,28.4711,19.1583,9.3128,0.396289362,32.70965997,1.391900424,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.5,5N,IB,North,2,34.7628,24.5674,10.1954,0.433846809,29.32847757,1.248020322,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.5,5S,IB,South,2,33.9071,23.6613,10.2458,0.435991489,30.21727013,1.285841282,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.5,6N,IB,North,3,28.2464,19.8373,8.4091,0.357834043,29.77051943,1.266830614,NA,AH
3,12,31-Oct,20161031,20161101,20161104,23.5,6S,IB,South,3,32.0857,22.7703,9.3154,0.3964,29.03287134,1.235441334,NA,AH
4,14,18-Nov,20161118,20161119,20161123,25.25,1N,OB,North,4,33.114,13.5644,19.5496,0.774241584,59.03726521,2.338109513,NA,AH
4,14,18-Nov,20161118,20161119,20161123,25.25,1S,OB,South,4,33.5948,13.5464,20.0484,0.79399604,59.67709288,2.363449223,NA,AH
4,14,18-Nov,20161118,20161119,20161123,25.25,2N,OB,North,5,34.1455,13.4589,20.6866,0.819271287,60.58367867,2.399353611,NA,AH
4,14,18-Nov,20161118,20161119,20161123,25.25,2S,OB,South,5,35.5484,14.0851,21.4633,0.850031683,60.37768226,2.391195337,NA,AH
4,14,18-Nov,20161118,20161119,20161123,25.25,3N,OB,North,6,34.1316,13.0842,21.0474,0.833560396,61.66543614,2.442195491,NA,AH
4,14,18-Nov,20161118,20161119,20161123,25.25,3S,OB,South,6,32.6957,12.4755,20.2202,0.8008,61.84360635,2.449251736,NA,AH
4,14,18-Nov,20161118,20161119,20161123,24.5,4N,IB,North,1,52.2542,24.1209,28.1333,1.148297959,53.83930861,2.1975228,NA,AH
4,14,18-Nov,20161118,20161119,20161123,24.5,4S,IB,South,1,32.1314,22.0048,10.1266,0.413330612,31.51621156,1.286375982,NA,AH
4,14,18-Nov,20161118,20161119,20161123,24.5,5N,IB,North,2,34.7815,23.1317,11.6498,0.475502041,33.49424263,1.367111944,NA,AH
4,14,18-Nov,20161118,20161119,20161123,24.5,5S,IB,South,2,32.951,22.2799,10.6711,0.435555102,32.38475312,1.321826658,NA,AH
4,14,18-Nov,20161118,20161119,20161123,24.5,6N,IB,North,3,36.5475,26.8327,9.7148,0.396522449,26.58129831,1.084950951,NA,AH
4,14,18-Nov,20161118,20161119,20161123,24.5,6S,IB,South,3,34.2211,25.1843,9.0368,0.36884898,26.40709971,1.077840805,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,1N,OB,North,4,27.2579,10.2995,16.9584,0.737321739,62.21462402,2.704983653,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,1S,OB,South,4,28.2177,10.7827,17.435,0.758043478,61.78745964,2.686411289,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,2N,OB,North,5,24.9656,8.1846,16.781,0.729608696,67.21648989,2.922456082,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,2S,OB,South,5,24.943,8.4328,16.5102,0.717834783,66.19171712,2.877900744,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,3N,OB,North,6,27.5265,9.3721,18.1544,0.789321739,65.95244582,2.867497645,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,3S,OB,South,6,27.5002,9.3197,18.1805,0.790456522,66.11042829,2.874366447,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,4N,IB,North,1,27.9915,20.3942,7.5973,0.330317391,27.14145366,1.180063202,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,4S,IB,South,1,26.2508,19.261,6.9898,0.303904348,26.62699803,1.157695567,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,5N,IB,North,2,26.2508,19.4731,6.7777,0.294682609,25.81902266,1.122566203,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,5S,IB,South,2,28.2726,20.773,7.4996,0.326069565,26.52603581,1.153305905,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,6N,IB,North,3,29.7845,22.1836,7.6009,0.330473913,25.51964948,1.109549977,NA,AH
5,17,5-Dec,20161205,20161206,20161212,23,6S,IB,South,3,26.5529,19.7334,6.8195,0.2965,25.68269379,1.116638861,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.75,1N,OB,North,4,30.2653,14.5447,15.7206,0.691015385,51.9426538,2.283193574,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.75,1S,OB,South,4,27.8914,12.7737,15.1177,0.664514286,54.20201209,2.382506026,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.75,2N,OB,North,5,28.433,13.0297,15.4033,0.677068132,54.17402314,2.381275743,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.75,2S,OB,South,5,34.242,16.3942,17.8478,0.784518681,52.12253957,2.29110064,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.75,3N,OB,North,6,34.5669,15.9141,18.6528,0.819903297,53.96144867,2.37193181,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.75,3S,OB,South,6,33.0608,15.1304,17.9304,0.788149451,54.23462227,2.383939441,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.25,4N,IB,North,1,31.4893,24.2638,7.2255,0.324741573,22.94588956,1.031275935,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.25,4S,IB,South,1,30.0381,22.4921,7.546,0.339146067,25.12142912,1.129052994,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.25,5N,IB,North,2,30.8717,23.9994,6.8723,0.308867416,22.26084083,1.000487229,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.25,5S,IB,South,2,29.805,21.863,7.942,0.35694382,26.64653582,1.197597115,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.25,6N,IB,North,3,30.6623,24.1713,6.491,0.291730337,21.16931867,0.951430053,NA,AH
6,19,15-Dec,20161215,20161216,20161219,22.25,6S,IB,South,3,30.44,23.2184,7.2216,0.324566292,23.72404731,1.066249317,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,1N,OB,North,4,23.3381,9.8619,13.4762,0.561508333,57.74334672,2.40597278,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,1M,OB,Middle,4,26.5569,11.6702,14.8867,0.620279167,56.05586495,2.33566104,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,1S,OB,South,4,28.3335,12.8784,15.4551,0.6439625,54.5470909,2.272795454,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,2N,OB,North,5,23.2232,9.0995,14.1237,0.5884875,60.81720004,2.534050002,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,2M,OB,Middle,5,28.6884,12.246,16.4424,0.6851,57.31375748,2.388073228,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,2S,OB,South,5,30.6211,13.3196,17.3015,0.720895833,56.50188922,2.354245384,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,4N,IB,North,1,27.3626,20.1936,7.169,0.298708333,26.19999561,1.091666484,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,4M,IB,Middle,1,22.8974,17.0622,5.8352,0.243133333,25.4841161,1.061838171,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,4S,IB,South,1,23.9694,17.6583,6.3111,0.2629625,26.32982052,1.097075855,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,5N,IB,North,2,23.7188,16.7453,6.9735,0.2905625,29.40072854,1.225030356,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,5M,IB,Middle,2,27.5602,20.0834,7.4768,0.311533333,27.12897584,1.130373993,NA,AH
7,23,11-Jan,20170111,20170112,20170117,24,5S,IB,South,2,22.3054,15.7303,6.5751,0.2739625,29.47761529,1.22823397,NA,AH
8,25,26-Jan,20171126,20171127,20171131,25.5,1N,OB,North,4,29.1819,12.6677,16.5142,0.647615686,56.59055785,2.219237563,NA,AH
8,25,26-Jan,20171126,20171127,20171131,25.5,1M,OB,Middle,4,28.2138,12.7257,15.4881,0.607376471,54.89547668,2.152763791,NA,AH
8,25,26-Jan,20171126,20171127,20171131,25.5,1S,OB,South,4,27.6811,13.1279,14.5532,0.570713725,52.57450029,2.061745109,NA,AH
8,25,26-Jan,20171126,20171127,20171131,25.5,2N,OB,North,5,28.9885,13.6388,15.3497,0.60194902,52.95099781,2.076509718,NA,AH
8,25,26-Jan,20171126,20171127,20171131,25.5,2M,OB,Middle,5,28.3544,13.4943,14.8601,0.58274902,52.40844454,2.055233119,NA,AH
8,25,26-Jan,20171126,20171127,20171131,25.5,2S,OB,South,5,26.7137,13.0708,13.6429,0.535015686,51.07079888,2.002776427,NA,AH
8,25,26-Jan,20171126,20171127,20171131,24.75,4N,IB,North,1,28.6372,22.2741,6.3631,0.257094949,22.21970025,0.897765667,NA,AH
8,25,26-Jan,20171126,20171127,20171131,24.75,4M,IB,Middle,1,25.8724,19.6477,6.2247,0.25150303,24.05922914,0.972090066,NA,AH
8,25,26-Jan,20171126,20171127,20171131,24.75,4S,IB,South,1,27.5701,21.4704,6.0997,0.246452525,22.12433034,0.893912337,NA,AH
8,25,26-Jan,20171126,20171127,20171131,24.75,5N,IB,North,2,28.131,21.7052,6.4258,0.259628283,22.84241584,0.922925893,NA,AH
8,25,26-Jan,20171126,20171127,20171131,24.75,5M,IB,Middle,2,30.5386,23.7308,6.8078,0.275062626,22.29244301,0.900704768,NA,AH
8,25,26-Jan,20171126,20171127,20171131,24.75,5S,IB,South,2,27.0129,20.5948,6.4181,0.259317172,23.75938903,0.959975314,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,1N,OB,North,4,25.6008,12.3372,13.2636,0.66318,51.80931846,2.590465923,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,1M,OB,Middle,4,25.8459,12.6262,13.2197,0.660985,51.14815116,2.557407558,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,1S,OB,South,4,27.4296,13.0091,14.4205,0.721025,52.5727681,2.628638405,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,2N,OB,North,5,25.4104,13.1564,12.254,0.6127,48.22434909,2.411217454,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,2M,OB,Middle,5,26.2631,14.1053,12.1578,0.60789,46.2923265,2.314616325,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,2S,OB,South,5,23.4549,11.6793,11.7756,0.58878,50.20528759,2.51026438,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,4N,IB,North,1,25.5847,20.5595,5.0252,0.25126,19.64142632,0.982071316,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,4M,IB,Middle,1,25.8073,19.3589,6.4484,0.32242,24.98672856,1.249336428,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,4S,IB,South,1,25.3076,18.9307,6.3769,0.318845,25.19756911,1.259878455,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,5N,IB,North,2,27.0652,20.4917,6.5735,0.328675,24.28764613,1.214382306,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,5M,IB,Middle,2,27.5655,20.8169,6.7486,0.33743,24.48205184,1.224102592,NA,AH
9,27,9-Feb,20170209,20170210,20170215,20,5S,IB,South,2,23.7672,17.9132,5.854,0.2927,24.63058332,1.231529166,NA,AH